Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
20 CASHEWS PTY LTD,16634403124,335353370,0,0,2020-21
21ST CENTURY RESORTS HOLDINGS PTY LIMITED,33104201014,221231908,24805115,7441534,2020-21
3M AUSTRALIA PTY LTD,90000100096,618970919,15705979,4711794,2020-21
7 HOLDINGS PTY. LTD.,31005620851,3666044086,153140625,42397293,2020-21
8TIVE TRADING PTY LTD,38611468574,344832474,2262380,678714,2020-21
A.C.N 004 410 833 LIMITED (IN LIQUIDATION),63004410833,207848319,0,0,2020-21
A.C.N. 003 933 300 PTY LTD,58003933300,654927277,10612942,3183883,2020-21
A.C.N. 085 239 998 PTY LTD,39085239998,434517169,68304064,19474013,2020-21
A.C.N. 166 119 133 PTY LTD,31166119133,2696874626,41431107,8841137,2020-21
A.C.N. 630 698 716 PTY LTD,18630698716,129615621,0,0,2020-21
A2 AUSTRALIAN INVESTMENTS PTY. LIMITED.,93126014275,513391124,27107377,8132213,2020-21
A2 INFANT NUTRITION LIMITED,81618864958,512855063,92611734,27783520,2020-21
A2B AUSTRALIA LIMITED,99001958390,127593815,0,0,2020-21
AA HOLDINGS PTY LTD,94112233744,485899485,46598002,13979401,2020-21
AAPC LIMITED,87009175820,764969615,0,0,2020-21
ABACUS STORAGE OPERATIONS LIMITED,37112457075,147373467,8214506,2389913,2020-21
ABB GROUP INVESTMENT MANAGEMENT PTY LIMITED,47082803852,692113512,11879301,0,2020-21
ABBOT POINT BULKCOAL PTY LTD,23010183534,104730986,7158922,2147677,2020-21
ABBOT POINT OPERATIONS PTY LTD,58605852060,107385392,1372688,411806,2020-21
ABBOTT AUSTRALASIA PTY LIMITED,95000180389,625187359,40175982,12052795,2020-21
ABBVIE PTY LIMITED,48156384262,485157319,57461875,7798577,2020-21
ABC REFINERY (AUSTRALIA) PTY LIMITED,86621121079,5407580018,18598736,5579621,2020-21
ABC TISSUE PRODUCTS PTY LIMITED,33003085112,465101454,14231630,4269489,2020-21
ABERGELDIE CONSOLIDATED PTY LTD,21143512350,215566121,5659066,1697720,2020-21
ABI AUSTRALIA FINANCING,20615290830,2527290541,50889200,15266760,2020-21
ABN GROUP (VIC) PTY LTD,82130382188,567590928,32602099,9780630,2020-21
ABP FINANCE PTY LIMITED,58139991101,194569309,0,0,2020-21
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,17608552496,249841102,6097836,0,2020-21
ABT ASSOCIATES AUSTRALIA PTY LTD,72161695156,139619197,5034385,1510316,2020-21
ACCENT GROUP LIMITED,85108096251,889630777,99630692,29889208,2020-21
ACCENTURE AUSTRALIA HOLDINGS PTY LIMITED,61096995649,2325481173,111471384,31181897,2020-21
ACCIONA AGUA AUSTRALIA PTY LTD,84128531742,763116118,0,0,2020-21
ACCIONA GEOTECH HOLDING PTY LTD,99616868314,964335593,0,0,2020-21
ACCO BRANDS AUSTRALIA HOLDING PTY LIMITED,58130787923,180465433,22440754,6732226,2020-21
ACER COMPUTER AUSTRALIA PTY LIMITED,78003872768,342910017,14280851,4284255,2020-21
ACFS PORT LOGISTICS PTY LTD,95603120047,357037700,0,0,2020-21
ACM AUTOS PTY LTD,66121604082,105168811,2760346,828104,2020-21
ACM HOLDINGS CO PTY LTD,42622029798,461025282,0,0,2020-21
AD ASTRA HOLDINGS PTY LTD,19111061726,276049217,46294586,13888376,2020-21
ADAIRS LIMITED,50147375451,432243555,94829975,28448992,2020-21
ADAMA AUSTRALIA HOLDINGS PTY LTD,31108759495,289271616,9646157,2893847,2020-21
ADANI MINING PTY LTD,27145455205,432921991,0,0,2020-21
ADAPT-A-LIFT GROUP PTY LTD,81605149568,258669832,0,0,2020-21
ADBRI LIMITED,15007596018,1593163018,141784266,40854371,2020-21
ADCO CONSTRUCTIONS PTY LIMITED,46001044391,601259936,25514936,5454776,2020-21
ADCO GROUP PTY LIMITED,15094531272,332987607,11529905,3458972,2020-21
ADCOME PTY LTD,99110315681,467466949,13046454,3740853,2020-21
ADCORP HOLDINGS AUSTRALIA PTY LTD,91161583893,375770516,8419493,2525848,2020-21
ADECCO HOLDINGS PTY LTD,11003652088,604279571,0,0,2020-21
ADIDAS AUSTRALIA PTY LTD,80058390659,400911481,21752540,6525762,2020-21
ADM TRADING AUSTRALIA PTY LTD,92126806979,742445462,0,0,2020-21
ADOBE SYSTEMS PTY LTD,72054247835,673220609,37312288,11193686,2020-21
ADORE BEAUTY GROUP LIMITED,78636138988,179297904,1828193,548458,2020-21
ADT GROUP HOLDINGS PTY LTD,35144849436,222831727,38081,0,2020-21
ADYEN AUSTRALIA PTY LIMITED,55162682411,124566961,4335170,1300551,2020-21
AERIS RESOURCES LIMITED,30147131977,458834259,0,0,2020-21
AESTHETICS AUSTRALIA HOLDINGS PTY LTD,45621040220,116963286,9769419,0,2020-21
AFFINITY CHILDCARE HOLDINGS PTY LIMITED,72607818057,267649990,33560767,10068230,2020-21
AFGRI AUSTRALIA PTY LTD,14103619067,328721321,9527772,2857529,2020-21
AFTERPAY LIMITED,30618280649,447269429,0,0,2020-21
AG N VET MANAGEMENT SERVICES PTY LIMITED,91087675465,463592623,25329761,7045533,2020-21
AGCO AUSTRALIA LIMITED,89004092684,326908029,12596251,3778875,2020-21
AGGREKO GENERATOR RENTALS PTY. LIMITED,66001991457,137600947,5554,0,2020-21
AGILENT TECHNOLOGIES AUSTRALIA PTY LTD,29088510605,121395347,26278230,2095957,2020-21
AGILITY LOGISTICS HOLDINGS PTY LTD,62116779876,373695834,0,0,2020-21
AGL ENERGY LIMITED,74115061375,10409975402,64766817,0,2020-21
AGL GENERATION HOLDCO PTY LTD,46155768291,1340555144,295792918,87301787,2020-21
AGRICULTURAL BANK OF CHINA LIMITED,48848300367,248339569,36488886,10935929,2020-21
AGRIFOODS GLOBAL PTY LIMITED,63102428571,378220827,0,0,2020-21
AGRIUM SP HOLDINGS PTY LIMITED,58146674400,4130111885,207533746,56639931,2020-21
AGTRADE INTERNATIONAL PTY LTD,87139280461,596204030,35404628,10284314,2020-21
AHRENS GROUP PTY LTD,76114260230,326965700,33531867,10059560,2020-21
AIA AUSTRALIA LIMITED,79004837861,3322953137,0,0,2020-21
AIG AUSTRALIA LIMITED,93004727753,1946458240,102290369,30144045,2020-21
AIOI NISSAY DOWA INSURANCE COMPANY AUSTRALIA PTY LTD,11132524282,289360943,0,0,2020-21
AIR LIQUIDE AUSTRALIA LIMITED,57004385782,345019217,20608230,5797504,2020-21
AIRBUS AUSTRALIA PACIFIC HOLDINGS PTY LIMITED,75003066788,585969509,63217180,18965154,2020-21
AIRPORT MOTOR GROUP PTY LTD,61113244492,107259999,3504364,1051309,2020-21
AIRPORT MOTORWAY HOLDINGS PTY LTD,55078322531,139931302,56003792,16801138,2020-21
AIRROAD PTY LIMITED,81002955419,135917584,12183754,3655067,2020-21
AIRSERVICES AUSTRALIA,59698720886,1482282858,521790059,155718704,2020-21
AJ LUCAS GROUP LIMITED,12060309104,114651857,0,0,2020-21
AKAMAI TECHNOLOGIES NETHERLANDS BV,52115435955,113299941,4651245,1395374,2020-21
AKUNA CAPITAL AUSTRALIA PTY LTD,71622473750,181328580,23127258,6902157,2020-21
AKZO NOBEL COATINGS (HOLDINGS) PTY LTD,51000285012,236866111,16472635,4941790,2020-21
AL AQUA ZIP HOLDCO PTY LTD,92620030846,206025200,20112929,4014020,2020-21
ALBERT AUTOMOTIVE HOLDINGS PTY LTD,15616126722,881507335,0,0,2020-21
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33096987370,383366392,542773749,0,2020-21
ALCOA OF AUSTRALIA LTD,93004879298,4225111302,226337651,67865263,2020-21
ALCON LABORATORIES (AUSTRALIA) PTY LTD,88000740830,234650358,22926330,6877899,2020-21
ALDI FOODS PTY LIMITED,18086210139,10728833565,900406612,270121984,2020-21
ALEXION PHARMACEUTICALS AUST PL,59132343036,101245320,5327847,1598354,2020-21
ALIMFRESH PTY LIMITED,78002831843,298210907,14947245,1613852,2020-21
ALKANE RESOURCES LIMITED,35000689216,153963629,0,0,2020-21
ALLAM HOMES PTY LTD,33003798883,247171269,170926682,5877720,2020-21
ALLEGION (AUSTRALIA) PTY LTD,49077898161,119193352,0,0,2020-21
ALLEGIS GROUP APAC HOLDINGS PTY LTD,84159406523,133504652,0,0,2020-21
ALLERGAN AUSTRALIA PTY LIMITED,85000612831,244439119,21706010,6511803,2020-21
