GovernmentLevel,TaxCategory,Jurisdiction,Unit,Year,Value,Source,TaxName
State/Territory/Local,Total tax,NSW,$'000,1901-02,3375.54,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1902-03,3459.562,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1903-04,3448.386,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1904-05,3508.816,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1905-06,3927.552,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1906-07,4798.61,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1907-08,4619.068,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1908-09,4478.498,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1909-10,5263.042,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1910-11,5193.038,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1911-12,7211.306,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1912-13,6498.476,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1913-14,8852.756,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1914-15,10219.356,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1915-16,10780.57,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1916-17,11886.566,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1917-18,11252.294,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1918-19,8167.98,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1919-20,9925.036,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1920-21,14776.266,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1921-22,19434.034,PBO Australia's Tax Mix-Data.xlsx,Total tax
State/Territory/Local,Total tax,NSW,$'000,1922-23,23290.236,PBO Australia's Tax Mix-Data.xlsx,Total tax
