GovernmentLevel,TaxCategory,TaxName,Jurisdiction,FiscalYear,YearStart,YearEnd,Unit,ValueThousands,ValueDollars,Source
Australian Government,Income taxation receipts,Company tax,Australian Government,1901-02,1901,1902,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1902-03,1902,1903,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1903-04,1903,1904,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1904-05,1904,1905,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1905-06,1905,1906,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1906-07,1906,1907,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1907-08,1907,1908,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1908-09,1908,1909,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1909-10,1909,1910,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1910-11,1910,1911,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1911-12,1911,1912,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1912-13,1912,1913,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1913-14,1913,1914,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1914-15,1914,1915,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1915-16,1915,1916,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1916-17,1916,1917,$'000,0,0,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1917-18,1917,1918,$'000,1360.0159999999998,1360015.9999999998,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1918-19,1918,1919,$'000,2413.076,2413076,PBO Australia's Tax Mix-Data.xlsx
Australian Government,Income taxation receipts,Company tax,Australian Government,1919-20,1919,1920,$'000,5138.023999999999,5138023.999999999,PBO Australia's Tax Mix-Data.xlsx
